run_id,step_id,timestamp,script_name,phase,action_type,reason,source_jsonl,source_line
20260701_061524_3dd56b17,061526_scripu2_common_setup_loaded,1782886526.2581227,scripu2,common_setup_loaded,setup,non_trainable_action_type_setup,C:\VScode\Yoshida_script\teacher_data\20260701_061524_3dd56b17\steps.jsonl,1
20260701_061524_3dd56b17,061618_scripu4g_before_adaptive_grasp,1782886578.0255284,scripu4g,before_adaptive_grasp,before_adaptive_grasp,non_trainable_action_type_before_adaptive_grasp,C:\VScode\Yoshida_script\teacher_data\20260701_061524_3dd56b17\steps.jsonl,2
20260701_061524_3dd56b17,061641_scripu4g_close_test_1,1782886601.437211,scripu4g,close_test_1,adaptive_close_test,non_trainable_action_type_adaptive_close_test,C:\VScode\Yoshida_script\teacher_data\20260701_061524_3dd56b17\steps.jsonl,3
20260701_061524_3dd56b17,061656_scripu4g_close_test_2,1782886616.6873329,scripu4g,close_test_2,adaptive_close_test,non_trainable_action_type_adaptive_close_test,C:\VScode\Yoshida_script\teacher_data\20260701_061524_3dd56b17\steps.jsonl,4
20260701_061524_3dd56b17,061711_scripu4g_close_test_3,1782886631.8469563,scripu4g,close_test_3,adaptive_close_test,non_trainable_action_type_adaptive_close_test,C:\VScode\Yoshida_script\teacher_data\20260701_061524_3dd56b17\steps.jsonl,5
20260701_061524_3dd56b17,061727_scripu4g_close_test_4,1782886647.0060794,scripu4g,close_test_4,adaptive_close_test,non_trainable_action_type_adaptive_close_test,C:\VScode\Yoshida_script\teacher_data\20260701_061524_3dd56b17\steps.jsonl,6
20260701_061524_3dd56b17,061742_scripu4g_close_test_5,1782886662.341699,scripu4g,close_test_5,adaptive_close_test,non_trainable_action_type_adaptive_close_test,C:\VScode\Yoshida_script\teacher_data\20260701_061524_3dd56b17\steps.jsonl,7
20260701_061524_3dd56b17,061757_scripu4g_close_test_6,1782886677.544319,scripu4g,close_test_6,adaptive_close_test,non_trainable_action_type_adaptive_close_test,C:\VScode\Yoshida_script\teacher_data\20260701_061524_3dd56b17\steps.jsonl,8
20260701_061524_3dd56b17,061812_scripu4g_close_test_7,1782886692.8319452,scripu4g,close_test_7,adaptive_close_test,non_trainable_action_type_adaptive_close_test,C:\VScode\Yoshida_script\teacher_data\20260701_061524_3dd56b17\steps.jsonl,9
20260701_061524_3dd56b17,061828_scripu4g_after_adaptive_grasp,1782886708.9370806,scripu4g,after_adaptive_grasp,adaptive_grasp_done,non_trainable_action_type_adaptive_grasp_done,C:\VScode\Yoshida_script\teacher_data\20260701_061524_3dd56b17\steps.jsonl,10
20260701_063048_d30598eb,063049_scripu2_common_setup_loaded,1782887449.926013,scripu2,common_setup_loaded,setup,non_trainable_action_type_setup,C:\VScode\Yoshida_script\teacher_data\20260701_063048_d30598eb\steps.jsonl,1
20260701_063101_25fb34d6,063102_scripu2_common_setup_loaded,1782887462.0136065,scripu2,common_setup_loaded,setup,non_trainable_action_type_setup,C:\VScode\Yoshida_script\teacher_data\20260701_063101_25fb34d6\steps.jsonl,1
20260701_074001_5b39ccb8,074002_scripu2_common_setup_loaded,1782891602.3806796,scripu2,common_setup_loaded,setup,non_trainable_action_type_setup,C:\VScode\Yoshida_script\teacher_data\20260701_074001_5b39ccb8\steps.jsonl,1
20260701_074001_5b39ccb8,074015_scripu4h_before_approach,1782891615.4522705,scripu4h,before_approach,start_approach,non_trainable_action_type_start_approach,C:\VScode\Yoshida_script\teacher_data\20260701_074001_5b39ccb8\steps.jsonl,2
20260701_074001_5b39ccb8,074024_scripu4h_after_approach,1782891624.0423248,scripu4h,after_approach,hand_pose_target,non_trainable_action_type_hand_pose_target,C:\VScode\Yoshida_script\teacher_data\20260701_074001_5b39ccb8\steps.jsonl,3
20260701_074001_5b39ccb8,074034_scripu4g_before_adaptive_grasp,1782891634.9509022,scripu4g,before_adaptive_grasp,before_adaptive_grasp,non_trainable_action_type_before_adaptive_grasp,C:\VScode\Yoshida_script\teacher_data\20260701_074001_5b39ccb8\steps.jsonl,4
20260701_074001_5b39ccb8,074040_scripu4g_close_test_1,1782891640.1199389,scripu4g,close_test_1,adaptive_close_test,non_trainable_action_type_adaptive_close_test,C:\VScode\Yoshida_script\teacher_data\20260701_074001_5b39ccb8\steps.jsonl,5
20260701_074001_5b39ccb8,074043_scripu4g_close_test_2,1782891643.8079643,scripu4g,close_test_2,adaptive_close_test,non_trainable_action_type_adaptive_close_test,C:\VScode\Yoshida_script\teacher_data\20260701_074001_5b39ccb8\steps.jsonl,6
20260701_074001_5b39ccb8,074051_scripu4g_close_test_3,1782891651.4205196,scripu4g,close_test_3,adaptive_close_test,non_trainable_action_type_adaptive_close_test,C:\VScode\Yoshida_script\teacher_data\20260701_074001_5b39ccb8\steps.jsonl,7
